Ticker,BTC-USD,DOGE-USD,BTC-USD-High,DOGE-USD-High,BTC-USD-Low,DOGE-USD-Low,BTC-USD-Open,DOGE-USD-Open,BTC-USD-Volume,DOGE-USD-Volume
Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2023-09-15,26608.693359375,0.06255300343036652,26840.498046875,0.06287399679422379,26240.701171875,0.061514999717473984,26533.818359375,0.062073998153209686,11479735788,155088363
2023-09-16,26568.28125,0.06214800104498863,26754.76953125,0.06288400292396545,26473.890625,0.06193000078201294,26606.19921875,0.06255099922418594,7402031417,144247521
2023-09-17,26534.1875,0.06151700019836426,26617.998046875,0.062497999519109726,26445.07421875,0.06128599867224693,26567.927734375,0.06215199828147888,6774210670,156292597
2023-09-18,26754.28125,0.06201599910855293,27414.734375,0.06280799955129623,26415.515625,0.06114400178194046,26532.994140625,0.06151700019836426,15615339655,207651893
2023-09-19,27211.1171875,0.06270900368690491,27488.763671875,0.06321500241756439,26681.60546875,0.06197400018572807,26760.8515625,0.06201599910855293,13807690550,198507548
2023-09-20,27132.0078125,0.06262999773025513,27379.505859375,0.06300900131464005,26864.08203125,0.06196499988436699,27210.228515625,0.06270900368690491,13281116604,187443142
2023-09-21,26567.6328125,0.06134599819779396,27152.939453125,0.06330700218677521,26389.30078125,0.06128200143575668,27129.83984375,0.06262899935245514,13371443708,518556615
2023-09-22,26579.568359375,0.06153099983930588,26726.078125,0.06182900071144104,26495.533203125,0.06105399876832962,26564.056640625,0.06134499981999397,10578746709,144488200
2023-09-23,26579.390625,0.061507001519203186,26634.185546875,0.06184599921107292,26520.51953125,0.06137799844145775,26578.556640625,0.061528000980615616,7404700301,117222607
2023-09-24,26256.826171875,0.060743000358343124,26716.05859375,0.06174299865961075,26221.05078125,0.06070199981331825,26579.373046875,0.061507001519203186,8192867686,115250326
2023-09-25,26298.48046875,0.06095900014042854,26421.5078125,0.06120000034570694,26011.46875,0.060545001178979874,26253.775390625,0.06074199825525284,11997833257,117409471
2023-09-26,26217.25,0.06059899926185608,26389.884765625,0.06111599877476692,26090.712890625,0.05990700051188469,26294.7578125,0.06095600128173828,9985498161,141794234
2023-09-27,26352.716796875,0.060504000633955,26817.841796875,0.06133199855685234,26111.46484375,0.06027499958872795,26209.498046875,0.060593001544475555,11718380997,153818653
2023-09-28,27021.546875,0.06148400157690048,27259.5,0.0616610012948513,26327.322265625,0.060405999422073364,26355.8125,0.06049700081348419,14079002707,137019315
2023-09-29,26911.720703125,0.062178000807762146,27225.9375,0.06230999901890755,26721.763671875,0.06138499826192856,27024.841796875,0.06148599833250046,10396435377,141947701
2023-09-30,26967.916015625,0.06214100122451782,27091.794921875,0.06250599771738052,26888.96875,0.061799000948667526,26911.689453125,0.06218000128865242,5331172801,124411353
2023-10-01,27983.75,0.06319300085306168,28047.23828125,0.06351900100708008,26965.09375,0.06189600005745888,26967.396484375,0.062139999121427536,9503917434,162108911
2023-10-02,27530.78515625,0.062059998512268066,28494.458984375,0.06396099925041199,27347.787109375,0.061625998467206955,27976.798828125,0.06318999826908112,19793041322,275648168
2023-10-03,27429.978515625,0.061386000365018845,27667.19140625,0.062268998473882675,27216.001953125,0.06122799962759018,27508.251953125,0.06205400079488754,11407814187,156615776
2023-10-04,27799.39453125,0.06148799881339073,27826.658203125,0.06156099960207939,27248.10546875,0.060458000749349594,27429.07421875,0.061388999223709106,11143355314,141610437
2023-10-05,27415.912109375,0.06092299893498421,28091.861328125,0.0616069994866848,27375.6015625,0.06083900108933449,27798.646484375,0.06148599833250046,11877253670,114148166
2023-10-06,27946.59765625,0.06142599880695343,28252.537109375,0.06155499815940857,27215.552734375,0.06082100048661232,27412.123046875,0.060920000076293945,13492391599,109783884
2023-10-07,27968.83984375,0.061455000191926956,28028.091796875,0.0616689994931221,27870.423828125,0.061129000037908554,27946.78125,0.06142500042915344,6553044316,97620505
2023-10-08,27935.08984375,0.06100799888372421,28102.169921875,0.06161100044846535,27740.662109375,0.06087600067257881,27971.677734375,0.061455998569726944,7916875290,92483679
2023-10-09,27583.677734375,0.058779001235961914,27989.470703125,0.06103000044822693,27302.5625,0.0582600012421608,27934.47265625,0.06100999936461449,12007668568,241183528
2023-10-10,27391.01953125,0.05902500078082085,27715.84765625,0.05920400097966194,27301.654296875,0.05860799923539162,27589.201171875,0.058779001235961914,9973350678,123311323
2023-10-11,26873.3203125,0.058469999581575394,27474.115234375,0.05945400148630142,26561.099609375,0.057812999933958054,27392.076171875,0.05904100090265274,13648094333,146066511
2023-10-12,26756.798828125,0.05789700150489807,26921.439453125,0.05849500000476837,26558.3203125,0.05746600031852722,26873.29296875,0.058469999581575394,9392909295,116644185
2023-10-13,26862.375,0.05839800089597702,27092.697265625,0.05875600129365921,26686.322265625,0.05782400071620941,26752.87890625,0.05789700150489807,15165312851,139290300
2023-10-14,26861.70703125,0.05985900014638901,26969.0,0.05993000045418739,26814.5859375,0.058400001376867294,26866.203125,0.058400001376867294,5388116782,112567930
2023-10-15,27159.65234375,0.05934999883174896,27289.169921875,0.059859998524188995,26817.89453125,0.05912499874830246,26858.01171875,0.059859998524188995,7098201980,105304368
2023-10-16,28519.466796875,0.060113999992609024,29448.138671875,0.061225999146699905,27130.47265625,0.05935100093483925,27162.62890625,0.05935699865221977,27833876539,255254744
2023-10-17,28415.748046875,0.059119999408721924,28618.751953125,0.060155998915433884,28110.185546875,0.05880099907517433,28522.09765625,0.060109999030828476,14872527508,154163593
2023-10-18,28328.341796875,0.05867300182580948,28889.009765625,0.05927399918437004,28174.251953125,0.058361999690532684,28413.53125,0.059115998446941376,12724128586,113718362
2023-10-19,28719.806640625,0.058883000165224075,28892.474609375,0.058883000165224075,28177.98828125,0.05801299959421158,28332.416015625,0.058667998760938644,14448058195,119806282
2023-10-20,29682.94921875,0.05996499955654144,30104.0859375,0.06033699959516525,28601.669921875,0.05869999900460243,28732.8125,0.05887800082564354,21536125230,154146216
2023-10-21,29918.412109375,0.061188001185655594,30287.482421875,0.06136300042271614,29481.751953125,0.059571001678705215,29683.380859375,0.05996499955654144,11541146996,149488431
